,ID,question_id,question,intructor_answers,answer,input
0,1223,2023-04-07,How are linked lists passed as arguments to a function?,By reference.,not answered,how linked lists passed arguments function answered
1,1777,2023-04-10,What is a binary tree?,A tree for which the maximum number of children per node is two.,A binary search tree is a tree that also has the condition that each node may have at maximum 2 children,what binary tree binary search tree tree also condition node may maximum children
2,2240,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,longest to shortest:<br>n^3; n!; n^2; 2^(log n); log(log n),order following functions running time log log log n longest shortest br n log log log
3,690,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"array  it is the collection of similar data types ex:int a[10]<br><br>ten indicates the size of array. [ ] is index of array, we can give only integer values to array of a.<br><br>where as string mean collection of group of characters. <br>string declarations have a datatype usually causes storage to be allocated in memory that is capable of holding some predetermined number of symbols. <br><br> However  Arrays can be declared to contain values of any non reference data type. Multiple arrarys of the same type",what main difference strings declared using type string versus strings declared using array characters array collection similar data types ex int br br ten indicates size array index array give integer values array br br where string mean collection group characters br string declarations datatype usually causes storage allocated memory capable holding predetermined number symbols br br however arrays declared contain values non reference data type multiple arrarys type
4,2422,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,2^n where n is the # of levels the binary tree has,how many steps take search node binary search tree n levels binary tree
5,1975,2023-04-11,What is a function signature?,"The name of the function and the list of parameters, including their types.",the name of the function and the arguments passed to that function,what function signature name function arguments passed function
6,673,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,array of characters can only hold as many characters as the array size and strings are not that limited.,what main difference strings declared using type string versus strings declared using array characters array characters hold many characters array size strings limited
7,95,2023-04-01, Where do C++ programs begin to execute?,At the main function., in the testing phase,where programs begin execute testing phase
8,73,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.," Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",what main advantages associated object oriented programming modular reusable code allowing faster deployment solutions general view solution
9,2192,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
10,666,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words (or an array of char arrays),what main difference strings declared using type string versus strings declared using array characters type string array chars make array single letter characters array strings actual array words or array char arrays
11,2347,2023-07-12,What are the main operations associated with a stack?,push and pop,push and pop,what main operations associated stack push pop
12,344,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
13,327,2023-05-02,How many constructors can be created for a class?,Unlimited number.,It depends what type of class is being defined.  Typically you would have a constructor call for each object.,how many constructors created class it depends type class defined typically would constructor call object
14,1411,2023-04-08,How can you implement a stack with a list?,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",create a node based list that points to the next list item down.,how implement stack list create node based list points next list item down
15,54,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7), 1- specification<br>2- design<br>3- risk analysis<br>4- verification<br>5- coding<br>6- testing<br>7- refining<br>8- production<br>9- maintenance,what stages software life cycle influenced testing stage specification br design br risk analysis br verification br coding br testing br refining br production br maintenance
